Instructor,Bootcamp,Cardio,Cycling,Meditation,Strength,Stretching,Yoga,Total
Aditi Shah,,,,12,2,,7,21
Adrian Williams,,,,,4,12,,16
Alex & Tunde  ,,,1,,,,,1
Alex Toussaint,,,11,,2,2,,15
Ally & Emma ,,,1,,,,,1
Ally Love,,,15,,1,1,,17
Andy Speer,,,,,1,3,,4
Anna Greenberg,,,,6,,,6,12
Ben Alldis,,,1,,6,9,,16
Chase Tucker,,,,,,5,,5
Chelsea Jackson Roberts,,,,5,,,1,6
Christine D'Ercole,,,4,,,,,4
Cody & Emma ,,,1,,,,,1
Cody Rigsby,2,,32,1,2,12,,49
Cycling Instructors 2019,,,1,,,,,1
Denis Morton,,,20,,,11,8,39
Emma Lovewell,,,32,,10,5,,47
Hannah Corbin,,,7,,1,17,,25
Hannah Frankson,,,5,,,2,,7
Jenn Sherman,,,7,,,1,,8
Jess & Robin ,,,1,,,,,1
Jess King,,,18,,,3,,21
Jess Sims,5,,,,1,7,,13
Kendall Toole,,,12,,,4,,16
Kristin & Ross ,,,,,,,1,1
Kristin McGee,,,,6,1,,8,15
Leanne Hainsby,,,5,,1,2,,8
Matt Wilpers,,,52,,1,124,,177
Matty Maggiacomo,,,,,1,2,,3
Multiple Instructors,,1,,,,,,1
Multiple Instructors ,,,2,,,,,2
Olivia Amato,,1,13,,4,14,,32
Rebecca Kennedy,,,,,,3,,3
Robin Arzon,2,,72,,13,11,,98
Ross Rayburn,,,,11,,,3,14
Sam Yo,,,1,,1,,,2
Selena Samuela,,,,,,3,,3
Tunde Oyeneyin,,,7,,,2,,9
